0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.4993224,-0.6845514,-0.027396973,0.33747262,-0.43095154,3.17664,0.11335173,0.39895877,0.3672283,0.41364422,1.2167623,1.6161065,0.6693556,0.11050065,-0.49076474,-0.20924444
0.062125716,0.16408834,1.9101509,-0.54115945,-0.019910185,1.7952315,-0.92837137,0.42388543,1.8244423,-0.579956,0.12025522,0.012663382,1.1008258,0.32485706,0.30706427,0.3937204
0.014547885,-0.5097157,-0.102156505,0.5300642,2.5436392,-0.1996756,0.26275623,-0.14601749,-0.4060589,0.17856207,-1.6743582,-1.8203646,-0.41965675,0.81495726,-1.2197623,-0.17581938
-1.4280237,-0.8720723,-0.83364105,0.4160858,-0.91572887,0.47239253,0.6991385,-0.20079303,0.736588,0.9871931,-0.08031404,-0.29347712,-0.53153145,0.03456647,1.4790993,0.8223685
0.7625086,0.193467,-0.7152347,0.17123705,1.0959549,0.023844002,-0.97706413,0.66725147,-0.69888747,-0.42876467,-0.9063595,-1.0736043,-1.4371364,0.87860566,-1.4153584,-1.9635434
-2.9542227,-0.318171,-0.7201186,0.025242405,-0.092826016,-0.04128136,0.28387588,0.20408866,1.0930725,0.057018325,-0.20050554,0.20644787,0.34583375,0.005756954,0.41153795,-0.18669021
-0.7652312,1.0246923,0.8634138,0.5653681,-0.1767863,0.5655266,-0.8895969,0.66723734,-1.1930711,0.49578416,-0.34157473,0.6053055,0.3593017,-0.60564053,0.48069665,-0.72190577
0.987297,-0.6874397,-0.16134845,-1.3070267,-0.0012241486,-0.46306276,-0.517119,0.121617116,-1.4560759,0.25013366,-0.5938662,0.75521743,0.29692143,-0.34814352,0.89668846,1.5322473
-0.16428107,-0.40317905,0.6472327,-1.2691665,-0.6168911,0.79392457,-0.9247699,-0.21450396,-0.3245152,-0.09233422,-0.51575345,-0.38256824,0.18259883,0.6996923,-0.9069659,-1.1585127
-0.27202362,0.08658054,1.0258416,-0.29816073,-0.15035307,-0.2092313,1.4364847,0.39476535,-1.1659689,-0.54870564,0.550047,0.6089262,-0.33116814,0.07257774,-0.864873,1.2816457
-0.19902064,0.07144142,0.9455696,-0.39154878,-0.19083834,-0.14766893,1.3025091,0.35502785,-1.1080948,-0.47567958,0.42440137,0.5306785,-0.34335828,0.08474106,-0.7584686,1.1397885
0.52881765,0.24977252,0.76773584,0.33346793,0.02233777,0.08016601,1.5804117,-2.4223218,1.077345,-0.68634367,-1.2270815,0.48149964,-1.8562512,-0.2345929,0.09922192,0.20425344
-1.2753053,-0.43595928,1.0418777,0.27299258,-0.38265312,-0.25558922,-0.4451344,0.41326,-0.527332,0.15348901,0.90865654,0.53173757,-1.4338225,-0.7468815,0.8905352,-0.9005497
0.325601,0.056876693,0.39690307,-0.0058080796,-0.59062326,0.26286212,0.62397695,-1.2828671,-0.044050846,0.036851637,-0.39716488,-0.13283822,-0.57463247,0.32643,-0.102509886,0.12712781
-0.29691666,-0.94105977,-0.70090616,-0.39311725,-0.54320997,0.22539727,0.9650462,-0.76147175,-0.29659334,0.28793162,-0.84845424,0.91086173,-1.0111499,-0.25823274,-0.8373966,-0.52445346
-0.5753632,-0.22784297,0.19988742,-0.35845926,-1.1451851,0.39529097,-1.0588213,-0.0167613,0.381951,0.62810326,0.8077892,-2.010855,0.2465534,0.8444582,-0.50587344,1.3688254
-0.5799282,-0.2652622,0.9590118,0.63486713,-1.1396251,-0.36859363,-0.9677162,0.72739756,-1.5603025,0.73709047,0.15723062,0.8533628,-0.6385592,-0.8200024,1.1673043,-0.53440267
-3.0445538,-0.34743825,-0.7845527,-0.13229944,-0.24092919,0.18309933,0.8074792,-0.029150195,1.1826377,-0.123809576,-0.23781991,0.71746045,0.31194425,0.25700977,0.5433214,0.055334058
-0.4938044,-0.9693384,0.49340308,-2.3852305,-1.6430774,2.181102,-0.76242214,-0.46072656,-0.07826916,-0.26669788,0.13908102,-0.006597045,0.14343381,-0.15381522,-0.7894242,-1.0806894
-0.39011303,0.9143211,1.373814,1.1423926,-0.43787324,0.32812265,-0.75480956,0.8595626,-1.3935562,0.4352515,-0.37296903,0.93452966,0.32526106,-0.5120736,0.5235624,-0.68154234
-0.19298454,-0.50259376,0.08217753,0.11936461,2.284025,-0.11578228,0.5754034,-0.40903392,-0.027244331,0.33611512,-1.4680859,-1.7554684,-0.07977761,0.4609846,-1.0335788,0.0065111145
-0.05209134,-0.7364508,-0.39919466,-0.1648189,-0.12466046,0.21264365,0.60181314,-1.1910839,0.40611473,0.569575,-1.1788439,0.89853334,-0.96958023,-0.09437869,-0.9622137,-0.6825915
-0.21660462,-1.1669222,0.55590224,0.2542416,-1.2697618,0.6496532,0.0841576,-1.5792875,0.45153075,0.7721108,-0.4151874,-1.9870678,-0.25783673,-0.86223674,0.937592,0.5708698
-1.3394997,-0.51941824,-0.3673836,0.8585188,0.10065592,1.2088578,-0.61620814,0.4572062,0.50908214,-0.45822787,0.72437215,-0.9930442,-0.47479635,-0.15390985,0.86264026,-0.16022581
-0.53487253,-0.6755934,0.75204355,-2.0559652,-1.2812328,1.8715858,-0.6976413,-0.39506307,0.07050724,-0.24713546,0.13289954,-0.2412297,0.0070704957,0.14044519,-0.6377055,-1.1090878
0.6843172,-0.5954873,0.1310697,0.26490042,0.42414767,2.5197644,-0.46923304,-0.035212647,0.43545136,-0.2075701,0.123429075,1.8733099,-0.092574984,-0.1830592,0.11755904,0.20190652
0.6870446,0.295423,0.9016029,-0.38822928,-0.9470629,0.22333488,0.83540255,-2.9716012,-0.40517375,-0.49006674,-0.65479046,0.6971789,-1.7349601,0.13412993,-0.2956657,0.19651008
0.53304464,-0.15080254,-0.107663944,-0.20835488,-0.81566083,-1.1340042,0.36500952,-0.8357858,-0.12883182,-0.9998377,0.6882411,-0.062443074,-1.381888,-0.71395445,0.4581198,-0.9181779
-0.33265987,1.1191018,0.2751492,-0.8881384,-0.54018646,1.2361603,-1.2700487,0.5826857,-0.92637545,-0.5028074,-0.00019299882,0.7591778,-0.42100736,-0.95277506,1.0132641,-0.66742617
0.598265,-0.56723446,-0.29255834,-0.26838455,-0.7712705,-0.9819457,0.356786,-1.2875437,-0.25438458,-1.0443265,0.656222,0.13170336,-1.6651076,-0.6244146,0.36837375,-0.76659983
0.4495305,-0.15383285,-1.0629951,0.1543856,-0.011170461,1.4391034,0.55316144,-0.4427979,-0.27101803,0.09399507,0.87172395,-0.7534457,0.25157732,1.218818,0.96258783,-1.1532767
-1.0854392,-0.49943063,-0.61701775,0.81850684,-0.03931217,1.4680548,-0.7042028,0.29527694,0.33793956,-0.43970004,0.6899662,-1.0448685,-0.40404558,0.2526228,1.2386616,-0.44544044
-0.24165644,-0.45220158,0.9709498,-0.7420447,-1.1445764,-0.3342927,1.0302997,-1.3975126,-0.5689455,0.7873606,-0.13311395,-1.284295,-0.7133871,-0.21688169,-0.1349999,0.89968383
0.83620393,-0.18395968,0.9586159,-1.7676299,-1.1106632,1.4352492,0.06456323,-1.4039268,-0.6362377,-0.85198987,-0.36244783,-1.2291498,0.3052341,0.71121955,0.13930267,0.12293477
0.0527275,0.53138477,0.5104909,-1.361777,-1.2826859,1.385352,-0.41586033,-0.90420157,-0.673267,-0.6760757,0.37700754,0.5786887,0.50011647,0.4786942,0.3449978,-0.88145036
-0.1537952,0.109044515,0.81674266,-0.3159388,-0.28408623,-0.286269,1.093826,0.38466182,-0.9790132,-0.47126883,0.42116693,0.47717097,-0.2928165,0.12694944,-0.71326053,1.019484
-0.09940058,-0.21884272,0.2499451,-2.0679736,0.65985847,1.4269947,0.6971138,0.0923499,0.021906616,-0.48326084,0.5816489,1.3758339,0.14909309,-1.0064788,0.7177639,-0.4531438
0.3736545,-1.1764475,0.47475463,0.01865184,1.4952526,1.2917489,0.053015497,-0.71131176,-0.43534604,-0.30698803,-0.5417661,0.943925,-0.86357826,-1.3706392,1.2878094,-0.22119586
-0.8577984,0.18930341,-0.26959985,-0.01201637,-0.86449677,0.33286986,-0.85846275,0.44823712,-0.8656493,0.26544455,-0.70331144,-0.9452757,-0.6728907,0.5693653,-0.41084716,1.3410158
0.5301806,0.121722855,-1.017354,0.17555873,0.4941267,1.5798379,1.0035644,-0.12951382,-0.16213593,0.12951793,1.213461,-0.90204126,0.6143617,0.967962,1.224237,-1.3787216
-0.24989223,-1.19932,1.3260802,0.65282726,0.63347137,1.0381349,0.4779142,-0.26398972,-0.76670647,0.45412472,-0.62338537,0.56464493,-0.823262,-0.4682665,1.8578439,-1.157493
0.40105087,-1.383032,0.2802724,0.6132582,1.4028202,0.664227,0.3489842,-0.4831059,-0.802009,-0.5353281,-0.6297588,0.5848689,-1.0262095,-0.6114336,1.111717,0.03987149
0.5436016,0.51082003,1.0421835,-0.5336403,-1.2218634,1.2939601,0.0064588846,-0.66478115,-1.1581277,-0.32166207,-0.12943566,-0.8016173,0.37623686,0.54909927,0.10474648,-0.9144429
-1.7318028,-0.20606129,-0.5949642,-0.069808826,-0.40902928,0.086431034,0.57003963,0.18522234,0.7476298,0.12709121,-0.09435524,0.61964464,0.30788895,0.681375,0.34482184,0.25707734
